,PARAMETER,YEAR,MONTH,Surface Pressure (kPa),DATE,PARAMETER,YEAR,MONTH,Dew/Frost Point at 2 Meters (C),DATE,PARAMETER,YEAR,MONTH,Precipitation Corrected (mm/day),DATE,PARAMETER,YEAR,MONTH, Precipitation Corrected Sum (mm),DATE,PARAMETER,YEAR,MONTH,Wind Speed at 2 Meters (m/s),DATE,PARAMETER,YEAR,MONTH,Relative Humidity at 2 Meters (%),DATE,PARAMETER,YEAR,MONTH,Specific Humidity at 2 Meters (g/kg),DATE,PARAMETER,YEAR,MONTH,Temperature at 2 Meters (C),DATE,PARAMETER,YEAR,MONTH,Wind Speed at 10 Meters (m/s),DATE
0,PS,1990,JAN,98.69,1/1/1990,T2MDEW,1990,JAN,9.31,1/1/1990,PRECTOTCORR,1990,JAN,0,1/1/1990,PRECTOTCORR_SUM,1990,JAN,0,1/1/1990,WS2M,1990,JAN,2.15,1/1/1990,RH2M,1990,JAN,40.38,1/1/1990,QV2M,1990,JAN,7.69,1/1/1990,T2M,1990,JAN,25.42,1/1/1990,WS10M,1990,JAN,3.31,1/1/1990
1,PS,1990,FEB,98.75,2/1/1990,T2MDEW,1990,FEB,3.55,2/1/1990,PRECTOTCORR,1990,FEB,0,2/1/1990,PRECTOTCORR_SUM,1990,FEB,0,2/1/1990,WS2M,1990,FEB,2.66,2/1/1990,RH2M,1990,FEB,25.94,2/1/1990,QV2M,1990,FEB,5.31,2/1/1990,T2M,1990,FEB,26.4,2/1/1990,WS10M,1990,FEB,3.9,2/1/1990
2,PS,1990,MAR,98.68,3/1/1990,T2MDEW,1990,MAR,1.75,3/1/1990,PRECTOTCORR,1990,MAR,0,3/1/1990,PRECTOTCORR_SUM,1990,MAR,0,3/1/1990,WS2M,1990,MAR,2.8,3/1/1990,RH2M,1990,MAR,19.88,3/1/1990,QV2M,1990,MAR,4.82,3/1/1990,T2M,1990,MAR,28.91,3/1/1990,WS10M,1990,MAR,4.09,3/1/1990
3,PS,1990,APR,98.36,4/1/1990,T2MDEW,1990,APR,18.38,4/1/1990,PRECTOTCORR,1990,APR,0,4/1/1990,PRECTOTCORR_SUM,1990,APR,15.82,4/1/1990,WS2M,1990,APR,2.73,4/1/1990,RH2M,1990,APR,45.19,4/1/1990,QV2M,1990,APR,13.92,4/1/1990,T2M,1990,APR,33.19,4/1/1990,WS10M,1990,APR,3.75,4/1/1990
4,PS,1990,MAY,98.58,5/1/1990,T2MDEW,1990,MAY,21.51,5/1/1990,PRECTOTCORR,1990,MAY,0,5/1/1990,PRECTOTCORR_SUM,1990,MAY,73.83,5/1/1990,WS2M,1990,MAY,2.48,5/1/1990,RH2M,1990,MAY,61,5/1/1990,QV2M,1990,MAY,16.42,5/1/1990,T2M,1990,MAY,30.58,5/1/1990,WS10M,1990,MAY,3.51,5/1/1990
5,PS,1990,JUN,98.74,6/1/1990,T2MDEW,1990,JUN,21.62,6/1/1990,PRECTOTCORR,1990,JUN,5.27,6/1/1990,PRECTOTCORR_SUM,1990,JUN,105.47,6/1/1990,WS2M,1990,JUN,2.23,6/1/1990,RH2M,1990,JUN,65.25,6/1/1990,QV2M,1990,JUN,16.48,6/1/1990,T2M,1990,JUN,29.42,6/1/1990,WS10M,1990,JUN,3.3,6/1/1990
6,PS,1990,JUL,98.79,7/1/1990,T2MDEW,1990,JUL,21.66,7/1/1990,PRECTOTCORR,1990,JUL,5.27,7/1/1990,PRECTOTCORR_SUM,1990,JUL,147.66,7/1/1990,WS2M,1990,JUL,1.8,7/1/1990,RH2M,1990,JUL,73.62,7/1/1990,QV2M,1990,JUL,16.48,7/1/1990,T2M,1990,JUL,27.19,7/1/1990,WS10M,1990,JUL,2.76,7/1/1990
7,PS,1990,AUG,98.87,8/1/1990,T2MDEW,1990,AUG,22.6,8/1/1990,PRECTOTCORR,1990,AUG,5.27,8/1/1990,PRECTOTCORR_SUM,1990,AUG,226.76,8/1/1990,WS2M,1990,AUG,1.52,8/1/1990,RH2M,1990,AUG,81.56,8/1/1990,QV2M,1990,AUG,17.46,8/1/1990,T2M,1990,AUG,26.23,8/1/1990,WS10M,1990,AUG,2.42,8/1/1990
8,PS,1990,SEP,98.78,9/1/1990,T2MDEW,1990,SEP,22.42,9/1/1990,PRECTOTCORR,1990,SEP,5.27,9/1/1990,PRECTOTCORR_SUM,1990,SEP,142.38,9/1/1990,WS2M,1990,SEP,1.35,9/1/1990,RH2M,1990,SEP,78.62,9/1/1990,QV2M,1990,SEP,17.27,9/1/1990,T2M,1990,SEP,26.74,9/1/1990,WS10M,1990,SEP,2.2,9/1/1990
9,PS,1990,OCT,98.69,10/1/1990,T2MDEW,1990,OCT,19.99,10/1/1990,PRECTOTCORR,1990,OCT,0,10/1/1990,PRECTOTCORR_SUM,1990,OCT,0,10/1/1990,WS2M,1990,OCT,1.45,10/1/1990,RH2M,1990,OCT,66.56,10/1/1990,QV2M,1990,OCT,15.01,10/1/1990,T2M,1990,OCT,27.67,10/1/1990,WS10M,1990,OCT,2.38,10/1/1990
