PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1990,98.69,98.75,98.68,98.36,98.58,98.74,98.79,98.87,98.78,98.69,98.64,98.64,98.69
PS,1991,98.79,98.54,98.41,98.39,98.57,98.73,98.86,98.86,98.84,98.71,98.76,98.86,98.69
PS,1992,98.9,98.83,98.47,98.45,98.54,98.71,98.88,98.9,98.75,98.72,98.76,98.81,98.73
PS,1993,98.97,98.67,98.59,98.37,98.45,98.75,98.81,98.85,98.77,98.67,98.55,98.75,98.69
PS,1994,98.7,98.72,98.46,98.35,98.57,98.74,98.82,98.78,98.78,98.7,98.85,99.01,98.71
PS,1995,98.93,98.84,98.46,98.33,98.53,98.68,98.64,98.74,98.79,98.65,98.78,98.82,98.68
PS,1996,98.62,98.5,98.4,98.34,98.51,98.73,98.85,98.8,98.73,98.73,98.76,98.77,98.65
PS,1997,98.74,98.89,98.55,98.53,98.7,98.71,98.84,98.89,98.78,98.64,98.68,98.87,98.73
PS,1998,98.81,98.83,98.6,98.35,98.59,98.82,98.79,98.75,98.75,98.74,98.68,98.8,98.71
PS,1999,98.67,98.58,98.27,98.41,98.52,98.63,98.78,98.79,98.71,98.72,98.69,98.77,98.63
PS,2000,98.6,98.84,98.49,98.24,98.43,98.74,98.74,98.84,98.71,98.74,98.64,98.86,98.66
PS,2001,98.87,98.72,98.48,98.37,98.54,98.72,98.8,98.92,98.78,98.76,98.75,98.74,98.7
PS,2002,98.91,98.72,98.43,98.22,98.53,98.75,98.87,98.86,98.83,98.72,98.79,98.94,98.71
PS,2003,98.88,98.6,98.54,98.44,98.56,98.74,98.85,98.83,98.86,98.65,98.67,98.82,98.7
PS,2004,98.7,98.73,98.56,98.4,98.63,98.88,98.82,98.87,98.79,98.68,98.65,98.66,98.7
PS,2005,98.81,98.46,98.44,98.37,98.56,98.71,98.87,98.8,98.78,98.75,98.67,98.62,98.66
PS,2006,98.54,98.47,98.49,98.36,98.6,98.7,98.8,98.78,98.82,98.67,98.75,98.92,98.66
PS,2007,98.96,98.67,98.47,98.37,98.54,98.73,98.78,98.74,98.82,98.68,98.64,98.75,98.68
PS,2008,98.85,98.8,98.39,98.33,98.47,98.66,98.81,98.71,98.79,98.74,98.7,98.68,98.66
PS,2009,98.7,98.5,98.39,98.43,98.51,98.73,98.82,98.79,98.86,98.68,98.74,98.8,98.66
PS,2010,98.78,98.58,98.58,98.42,98.55,98.79,98.79,98.78,98.75,98.68,98.6,98.67,98.67
PS,2011,98.69,98.52,98.42,98.36,98.54,98.71,98.76,98.8,98.83,98.6,98.69,98.85,98.65
PS,2012,98.8,98.49,98.57,98.4,98.64,98.8,98.8,98.86,98.87,98.69,98.68,98.78,98.7
PS,2013,98.82,98.59,98.43,98.51,98.62,98.74,98.86,98.79,98.83,98.75,98.58,98.78,98.69
PS,2014,98.74,98.62,98.48,98.48,98.57,98.72,98.89,98.85,98.85,98.75,98.71,98.87,98.71
PS,2015,99,98.62,98.54,98.6,98.58,98.75,98.89,98.83,98.82,98.76,98.81,99.17,98.78
PS,2016,99.02,98.78,98.55,98.44,98.65,98.84,98.82,98.84,98.86,98.68,98.69,98.76,98.75
